river,year,MK,LInf,SL50,SL95,FM,SPR,SL50.Var,SL95.Var,FM.Var,SPR.Var
delger,2015,1.7269793985385864,143.83622724189135,65.05,88.5,3.07,0.1771172244001699,57.37565456040824,137.73929043187334,1.8143111552868538,0.003918211933698084
delger,2016,1.7269793985385864,143.83622724189135,56.4,67.33,1.45,0.26335980764937944,2.655665973662534,8.613285850545555,0.0847197111890355,0.0017967017049702644
delger,2017,1.7269793985385864,143.83622724189135,60.03,65.53,4.14,0.1323162417046526,0.6937184075577522,2.145124596248218,0.4610180065220774,1.8916283641818188e-4
delger,2018,1.7269793985385864,143.83622724189135,59.49,68.94,1.97,0.22268990318821455,3.249068146402996,10.571342857778838,0.17115040797861752,0.0012489603170022078
delger,2019,1.7269793985385864,143.83622724189135,85.06,112.12,6.86,0.2157861837353239,258.6129079710505,419.65166668900565,55.44227761141126,0.03177230790027751
delger,2022,1.7269793985385864,143.83622724189135,70.42,86.49,2.51,0.25638191594865856,6.332397954425568,16.35660349158415,0.2904279222944306,0.0010590631704024006
delger,2015,1.7919476257846427,165.34975550004108,65.95,90.06,4.27,0.10946082662520754,67.5703293187915,159.43631662369842,3.6533015854453565,0.0019917604683425795
delger,2016,1.7919476257846427,165.34975550004108,56.69,67.79,2.09,0.16198697905327025,2.622591520314331,8.787519031663383,0.12990030937746974,6.903120045029126e-4
delger,2017,1.7919476257846427,165.34975550004108,60.05,65.56,5.31,0.08345030835523029,0.6810025148420544,2.1267304716185302,0.6766858265631976,7.54045782290258e-5
delger,2018,1.7919476257846427,165.34975550004108,59.75,69.41,2.74,0.1383822794586311,3.191633365125289,10.517851675713375,0.2658234004823463,4.869376608335037e-4
delger,2019,1.7919476257846427,165.34975550004108,85.37,112.73,9.23,0.1371431558027711,262.3801955084383,428.2772286706657,96.53313644672103,0.015449996537312334
delger,2022,1.7919476257846427,165.34975550004108,70.75,87.1,3.52,0.1619327771971769,6.130939077875867,16.07351323387861,0.47370452153867415,4.514883113218048e-4
delger,2015,1.8183399933939122,134.77955963602616,64.54,87.38,2.33,0.23125836795493326,50.64139434026196,121.62000828586679,1.0580164952537576,0.005360001897624092
delger,2016,1.8183399933939122,134.77955963602616,56.31,67.12,1.05,0.3447938170322485,2.685652805814002,8.497076263130392,0.05921854698200941,0.0030605590196969823
delger,2017,1.8183399933939122,134.77955963602616,60.03,65.5,3.34,0.17040352964508704,0.7040347273649687,2.1541878875893206,0.3356006211397098,3.1142027107563993e-4
delger,2018,1.8183399933939122,134.77955963602616,59.38,68.68,1.48,0.2889973495949814,3.2907892591945753,10.546205278348548,0.11905110315280067,0.0020815627571843
delger,2019,1.8183399933939122,134.77955963602616,84.72,111.28,5.35,0.27322018281869503,246.2700426048179,396.8207949073338,34.4727273194707,0.04099369131461493
delger,2022,1.8183399933939122,134.77955963602616,70.27,86.07,1.89,0.32586101809619783,6.415917626991513,16.274392244774045,0.19546506427254418,0.0015891068168653914
delger,2015,1.6489289405147805,174.698723843232,66.37,91.02,5.41,0.07814124867930358,74.8432017166213,176.18648642318692,6.040544269796322,0.0012190493684676386
delger,2016,1.6489289405147805,174.698723843232,56.73,67.93,2.68,0.11565398143512454,2.611764964534746,8.917819086996612,0.18411763552024052,3.5707497164284206e-4
delger,2017,1.6489289405147805,174.698723843232,60.05,65.57,6.48,0.06015419960211343,0.6755197072569618,2.125072943551718,0.9442080392375706,3.9777590996578894e-5
delger,2018,1.6489289405147805,174.698723843232,59.8,69.56,3.46,0.09944113118033951,3.1630512302327607,10.557461432246045,0.37774614373597537,2.5549200926576655e-4
delger,2019,1.6489289405147805,174.698723843232,85.54,113.29,11.42,0.10003012981677054,271.6244356108315,445.94125985299644,146.31830932134804,0.00943477849406585
delger,2022,1.6489289405147805,174.698723843232,70.81,87.34,4.43,0.11803660481461342,6.094636218036169,16.21592864864482,0.6870931763420823,2.5538891713159176e-4
delger,2015,1.674270011200195,169.6862823154692,66.19,90.66,4.96,0.08924332728904574,72.15734445337273,170.3016728286707,5.010787777755856,0.001486926412424715
delger,2016,1.674270011200195,169.6862823154692,56.7,67.86,2.45,0.13209363020589984,2.615511157807286,8.872582546378881,0.16194476380881462,4.6317256113565815e-4
delger,2017,1.674270011200195,169.6862823154692,60.05,65.57,6.03,0.06843215940684089,0.6777737340083566,2.127207549385254,0.8371251406318864,5.129172651219473e-5
delger,2018,1.674270011200195,169.6862823154692,59.77,69.48,3.18,0.11332675359136031,3.1734157328960744,10.551716537635762,0.3317868802686428,3.301209958398741e-4
delger,2019,1.674270011200195,169.6862823154692,85.5,113.15,10.56,0.11345780184597781,269.78443132851646,442.0960531797024,125.90632353452888,0.011626233576663243
delger,2022,1.674270011200195,169.6862823154692,70.77,87.24,4.07,0.133950310712388,6.120089047950013,16.214402213076824,0.5982631346459917,3.222597566614152e-4
delger,2015,1.5231159282221665,138.07567628124468,64.9,88.59,3.23,0.16769996090735073,58.10928363968539,141.46829040982178,1.9626617677735931,0.0035976634040998726
delger,2016,1.5231159282221665,138.07567628124468,56.26,67.2,1.54,0.2497966887631354,2.6604935654542192,8.666390759130564,0.09155307555320516,0.0016286383426643394
delger,2017,1.5231159282221665,138.07567628124468,60.02,65.52,4.37,0.124998539611257,0.6961513256992992,2.157649822873492,0.5103055959559445,1.7242250975545777e-4
delger,2018,1.5231159282221665,138.07567628124468,59.37,68.8,2.07,0.21172791948695766,3.2480716784159984,10.669551742776171,0.18449924307523488,0.001142950237652298
delger,2019,1.5231159282221665,138.07567628124468,85.05,112.45,7.1,0.20665908081989315,268.2311176287565,437.25640606989975,59.94735631458977,0.030910035798125898
delger,2022,1.5231159282221665,138.07567628124468,70.27,86.41,2.61,0.24616384913484143,6.416532157460017,16.759933887185184,0.3096217385331103,0.0010080996056654526
delger,2015,1.5669565030178558,122.87652861597562,63.89,86.7,2.08,0.25739388144581726,47.08011787525208,115.81673929627853,0.8287293021078777,0.0059750111387671945
delger,2016,1.5669565030178558,122.87652861597562,55.99,66.74,0.91,0.38586068885260705,2.7324805987600906,8.546179645342182,0.052825038455046595,0.003885753273969697
delger,2017,1.5669565030178558,122.87652861597562,60,65.48,3.16,0.1864902041394148,0.7205995910748819,2.190249297545663,0.3290230045767315,3.934739572369823e-4
delger,2018,1.5669565030178558,122.87652861597562,59.08,68.23,1.31,0.3226562942901699,3.319986710752729,10.694540320872006,0.1050743829314078,0.002646382824387291
delger,2019,1.5669565030178558,122.87652861597562,84.31,111.01,4.7,0.3028868081733065,246.8312907981492,399.9599242670499,27.010993469271817,0.04627480579187937
delger,2022,1.5669565030178558,122.87652861597562,69.87,85.58,1.64,0.36425180110432465,6.626712238196183,16.915190254325704,0.16512815333855677,0.0020121351384761897
delger,2015,1.7064143610290523,180.8441401738874,66.52,91.21,5.61,0.07286403698010176,76.18527281310922,178.399012798574,6.563163361482433,0.0010955778068858757
delger,2016,1.7064143610290523,180.8441401738874,56.8,68.01,2.78,0.10780550160052313,2.6119529755797735,8.943242767293075,0.19339257465922974,3.112706864288919e-4
delger,2017,1.7064143610290523,180.8441401738874,60.05,65.58,6.64,0.05623737570064731,0.673897732233634,2.121096464075164,0.9823157822412815,3.469577312129775e-5
delger,2018,1.7064143610290523,180.8441401738874,59.85,69.64,3.58,0.09277382954062964,3.1577474357294006,10.536730311474855,0.39695989850336394,2.2268351294980394e-4
delger,2019,1.7064143610290523,180.8441401738874,85.56,113.28,11.8,0.09337846126717388,269.345254631234,442.28916571223243,154.76882820161777,0.00827373455826411
delger,2022,1.7064143610290523,180.8441401738874,70.87,87.42,4.59,0.11009805416651966,6.061434293257571,16.121826309162493,0.727729923880909,2.2312788415731918e-4
delger,2015,1.364898102792821,135.02211071424338,64.83,88.79,3.49,0.15439450273604738,59.43096294099605,146.33051409925847,2.2536383897286574,0.003188652512898614
delger,2016,1.364898102792821,135.02211071424338,56.16,67.12,1.68,0.23018429004124685,2.662149926693558,8.728683302224104,0.10301792926889375,0.0013922109184167871
delger,2017,1.364898102792821,135.02211071424338,60,65.52,4.7,0.1150958322255492,0.6971091974632901,2.1672197353110887,0.5828008127300492,1.4895466828218686e-4
delger,2018,1.364898102792821,135.02211071424338,59.29,68.72,2.25,0.19574846570443635,3.243004751481497,10.754070429854597,0.2072890978020659,9.881286123084273e-4
delger,2019,1.364898102792821,135.02211071424338,85.09,112.83,7.57,0.19277573743619864,277.60363677236006,454.55857578642747,68.41788648160491,0.028924484528938605
delger,2022,1.364898102792821,135.02211071424338,70.17,86.4,2.79,0.22998587616085497,6.4789436959607265,17.11208360115541,0.3465279126615473,9.117610287963755e-4
delger,2015,1.8399053825890022,137.20774882712644,64.65,87.56,2.43,0.22241734670391333,51.62979107671832,123.71984527206232,1.1473351098248663,0.005128093139525743
delger,2016,1.8399053825890022,137.20774882712644,56.35,67.18,1.1,0.33128285199313634,2.6781003731729722,8.50360618494347,0.062272097015274634,0.0028249098309314816
delger,2017,1.8399053825890022,137.20774882712644,60.03,65.51,3.44,0.16436879271552415,0.7015623191286128,2.1500875869617255,0.348496713194425,2.888411656768959e-4
delger,2018,1.8399053825890022,137.20774882712644,59.42,68.75,1.54,0.2779508741420788,3.2838815674427173,10.53555111149014,0.12541135312755394,0.001923710038569664
delger,2019,1.8399053825890022,137.20774882712644,84.78,111.38,5.56,0.26375897406861826,246.78759608544766,397.87929134348184,36.995082044975895,0.03934404954677164
delger,2022,1.8399053825890022,137.20774882712644,70.32,86.16,1.98,0.31415411262906867,6.382473171365361,16.211509905692264,0.2073821882058436,0.0014872709235100377
delger,2015,1.5821525057717605,131.25967360708125,64.45,87.67,2.6,0.20752792698705153,52.36947466265429,127.87096239777281,1.2735327683632696,0.004624723148649965
delger,2016,1.5821525057717605,131.25967360708125,56.17,67.02,1.2,0.30972410078600576,2.6872386267818564,8.58835985576699,0.06904586964576032,0.0024942434103615986
delger,2017,1.5821525057717605,131.25967360708125,60.01,65.5,3.7,0.15283218116675737,0.7050110369577304,2.1670292910525717,0.3994840801763148,2.575737856213215e-4
delger,2018,1.5821525057717605,131.25967360708125,59.27,68.58,1.66,0.2607693780180942,3.2811575930317347,10.662116067575546,0.1385992719199718,0.0017232375245022278
delger,2019,1.5821525057717605,131.25967360708125,84.76,111.79,5.83,0.24990672774435194,258.0893998407264,418.8863461637127,40.98870617746358,0.038310251171053064
delger,2022,1.5821525057717605,131.25967360708125,70.13,86.07,2.09,0.2986365056235722,6.491852579272831,16.739563631214587,0.22633353923995883,0.001406791691468168
delger,2015,1.6566464101548801,118.15237534416414,63.48,85.75,1.62,0.3205997866629943,42.3527415997138,103.70786568788851,0.539676104291871,0.00783677104258579
delger,2016,1.6566464101548801,118.15237534416414,55.9,66.56,0.65,0.48262927875476475,2.7773602814662297,8.476289870118892,0.039940282828850135,0.006105144276257469
delger,2017,1.6566464101548801,118.15237534416414,60.01,65.47,2.65,0.22864943411001543,0.7395555636768761,2.2137010296096404,0.26976786000937825,6.098482813658118e-4
delger,2018,1.6566464101548801,118.15237534416414,58.97,67.97,1,0.40006582722289635,3.354273161350778,10.652570002410108,0.07840330767247221,0.004048489818844578
delger,2019,1.6566464101548801,118.15237534416414,83.85,110,3.76,0.3654717197756594,231.43611886635682,373.00944627618435,17.59090479034516,0.05304109904871965
delger,2022,1.6566464101548801,118.15237534416414,69.69,85.12,1.25,0.4419977100921909,6.719062650425823,16.855477612915614,0.1199480394456616,0.002816976210918118
delger,2015,1.8510471903374415,133.47739619703714,64.43,87.13,2.19,0.24456364723863241,49.13603998076916,117.89857961510107,0.9438314346230362,0.005711873220721313
delger,2016,1.8510471903374415,133.47739619703714,56.3,67.09,0.97,0.3647754294525493,2.6914679597631372,8.467824481837836,0.05499930356676826,0.0034203171665079567
delger,2017,1.8510471903374415,133.47739619703714,60.03,65.5,3.19,0.17967153664746022,0.7061765679231878,2.1552483489642826,0.3141148511311779,3.4527098925787316e-4
delger,2018,1.8510471903374415,133.47739619703714,59.36,68.63,1.39,0.3051133861300886,3.29987416468995,10.534401435185211,0.11050687009053485,0.0023142247743210866
delger,2019,1.8510471903374415,133.47739619703714,84.65,111.08,5.08,0.28673246293806737,243.14494385022806,391.01401264083734,31.255377919951634,0.04291126343660799
delger,2022,1.8510471903374415,133.47739619703714,70.25,85.99,1.78,0.34227039672897386,6.425952464223062,16.224600901898242,0.18022552971074965,0.0017237075790424463
delger,2015,1.7773227966016454,138.8959136154219,64.78,87.91,2.65,0.20415492531468088,53.73870531324442,129.06482799528175,1.3592658439167256,0.004631595777657732
delger,2016,1.7773227966016454,138.8959136154219,56.35,67.22,1.22,0.30395038512320444,2.6704439992182283,8.549506477533122,0.06985697034645358,0.002385065069839564
delger,2017,1.7773227966016454,138.8959136154219,60.03,65.52,3.69,0.151410360773074,0.6989244751944453,2.1496539235765635,0.38801604765722375,2.4647632080407523e-4
delger,2018,1.7773227966016454,138.8959136154219,59.43,68.81,1.69,0.25578369792456573,3.270964157880686,10.558322146893204,0.14081722881849443,0.0016376088384088354
delger,2019,1.7773227966016454,138.8959136154219,84.88,111.69,6.01,0.24479072200231808,252.11764989229442,407.6073215768414,43.046394329142835,0.03656403972992397
delger,2022,1.7773227966016454,138.8959136154219,70.34,86.27,2.16,0.2913863652349932,6.370548591810298,16.299817698305354,0.2346346370362536,0.0013148535558161734
delger,2015,1.9168248460965887,150.39862791629355,65.27,88.61,3.04,0.17128974425562196,57.738673502667865,136.83595790075162,1.8025796041599875,0.0036819430524439927
delger,2016,1.9168248460965887,150.39862791629355,56.56,67.51,1.43,0.25399871805681745,2.647193890634159,8.59772939545675,0.0815361943440634,0.001666109797225394
delger,2017,1.9168248460965887,150.39862791629355,60.05,65.54,4.04,0.12851959219940587,0.691106754370946,2.1341810230569633,0.4378397759332713,1.7571560263553477e-4
delger,2018,1.9168248460965887,150.39862791629355,59.62,69.11,1.94,0.21473127865530464,3.24172281336349,10.485883751899301,0.16571688745958618,0.0011499321906821686
delger,2019,1.9168248460965887,150.39862791629355,85.07,111.89,6.81,0.20751377900352105,250.56075694933207,405.4835086787277,53.88832530098072,0.02830507120583051
delger,2022,1.9168248460965887,150.39862791629355,70.6,86.65,2.51,0.2457079539227814,6.23372872825648,15.990304843018823,0.2848186213156577,9.491896649558474e-4
delger,2015,1.9501563000937474,160.25989819265453,65.67,89.31,3.53,0.1396166043529662,62.33918444387357,146.73503073769862,2.4759463129722463,0.002794725633821585
delger,2016,1.9501563000937474,160.25989819265453,56.68,67.7,1.7,0.20665440653571118,2.6328938746228463,8.673780404612051,0.09893487545182011,0.001110932314171361
delger,2017,1.9501563000937474,160.25989819265453,60.06,65.56,4.53,0.10569367523362014,0.685384993364239,2.1263702606551886,0.5204519473630573,1.1909344919560487e-4
delger,2018,1.9501563000937474,160.25989819265453,59.73,69.32,2.26,0.17552603064395297,3.2167977626347,10.469770236710737,0.20217351214840576,7.724118043720528e-4
delger,2019,1.9501563000937474,160.25989819265453,85.22,112.2,7.8,0.1714608419967839,252.77609736890284,410.2509517893453,69.33287857566195,0.021174771353382024
delger,2022,1.9501563000937474,160.25989819265453,70.73,86.9,2.92,0.2025281638160295,6.149074680088936,15.889137145462524,0.35498331752293405,6.66979612900359e-4
delger,2015,1.647986313210928,146.52416255820793,65.26,89.02,3.46,0.1525647974796579,60.69212372351526,145.82582719433452,2.3048705846201423,0.0031995804673525473
delger,2016,1.647986313210928,146.52416255820793,56.43,67.41,1.66,0.2266356020017709,2.644275254663546,8.680015979182734,0.0990296682595398,0.0013376801295128693
delger,2017,1.647986313210928,146.52416255820793,60.03,65.53,4.55,0.11462789327869649,0.6904867601433257,2.144540258532108,0.536353718713954,1.43162796605183e-4
delger,2018,1.647986313210928,146.52416255820793,59.52,69.02,2.22,0.19249984066245066,3.230180460970931,10.595017847060157,0.20064861647256071,9.397456582983588e-4
delger,2019,1.647986313210928,146.52416255820793,85.18,112.49,7.61,0.18844408098612445,264.93710403010664,431.3626117249812,67.91940855281491,0.02645689853704976
delger,2022,1.647986313210928,146.52416255820793,70.46,86.65,2.82,0.22366038536659238,6.304727772582935,16.439474985076178,0.34411646000596413,8.32539576470549e-4
delger,2015,1.7355176281844271,149.2245390583831,65.32,88.99,3.4,0.15164819870417848,60.27722923415711,144.070737812445,2.232413646794874,0.0031285792569744415
delger,2016,1.7355176281844271,149.2245390583831,56.5,67.48,1.63,0.22496603993988273,2.6409595739361365,8.665683962754729,0.09575307963327873,0.001315959596401653
delger,2017,1.7355176281844271,149.2245390583831,60.04,65.54,4.46,0.11402107301125748,0.6896556178182202,2.139487837793868,0.5162547094464732,1.4050494798627833e-4
delger,2018,1.7355176281844271,149.2245390583831,59.57,69.09,2.18,0.19096177678331747,3.228174365363914,10.553460760655804,0.19452867477574043,9.201621026824168e-4
delger,2019,1.7355176281844271,149.2245390583831,85.18,112.36,7.52,0.1865084599341858,260.9453180142893,424.1123075964612,65.88466364800577,0.0253243578190745
delger,2022,1.7355176281844271,149.2245390583831,70.53,86.7,2.79,0.221107228739647,6.259373221843961,16.257837884554586,0.3348959311976156,8.024255435214493e-4
delger,2015,1.7561787237053477,145.0455734844917,65.12,88.58,3.08,0.17202931924620915,57.789566163813525,138.34807262702154,1.8358134083012136,0.0037248336809704062
delger,2016,1.7561787237053477,145.0455734844917,56.44,67.38,1.46,0.25555239757853754,2.6521355776173148,8.619038756580101,0.08430794014860553,0.00169146857943198
delger,2017,1.7561787237053477,145.0455734844917,60.04,65.53,4.14,0.128696215653728,0.693076691552533,2.143253108336324,0.4591578639234176,1.7850539940204258e-4
delger,2018,1.7561787237053477,145.0455734844917,59.52,68.98,1.98,0.21621360610917667,3.2448376182542202,10.553794702177456,0.1707418610565014,0.0011751718963162719
delger,2019,1.7561787237053477,145.0455734844917,85.07,112.1,6.88,0.2095408042346867,257.4509552426083,417.5761059932953,55.609044260212414,0.029871856341884995
delger,2022,1.7561787237053477,145.0455734844917,70.47,86.54,2.53,0.24872634984042744,6.304635287720946,16.275996007237605,0.2906038139706869,9.918630001369193e-4
delger,2015,1.8749150240211983,139.1977575610232,64.74,87.66,2.48,0.21854758215838446,52.20871511153473,124.75026889081555,1.1956433624276275,0.005041099482715652
delger,2016,1.8749150240211983,139.1977575610232,56.39,67.23,1.13,0.3253393121098168,2.6733033008227967,8.501783606624922,0.06364679803476458,0.002721585780762416
delger,2017,1.8749150240211983,139.1977575610232,60.04,65.51,3.48,0.1618501089037042,0.6999826317407384,2.146387249207531,0.35293074248614503,2.790112297647946e-4
delger,2018,1.8749150240211983,139.1977575610232,59.46,68.81,1.58,0.2731078254146129,3.280280167396797,10.52029518685963,0.12834722886300734,0.0018548090845783903
delger,2019,1.8749150240211983,139.1977575610232,84.83,111.42,5.68,0.2594409118926985,246.70447085430484,397.571387729604,38.438706504319434,0.038571704013525436
delger,2022,1.8749150240211983,139.1977575610232,70.37,86.22,2.03,0.3087739813581553,6.35784807541931,16.14377832329052,0.21339500161835004,0.001438392027921623
delger,2015,1.8761766173372374,135.35331000066412,64.53,87.27,2.25,0.23844452093784357,49.9355464381713,119.53078996742886,0.9986649775828895,0.005564738647970988
delger,2016,1.8761766173372374,135.35331000066412,56.33,67.14,1.01,0.35537904410402454,2.6857130007504684,8.470212444640866,0.056783040354238014,0.0032444338255075947
delger,2017,1.8761766173372374,135.35331000066412,60.03,65.5,3.25,0.17558959068683608,0.7042181586661175,2.151672876218403,0.32085308627515274,3.285989376808726e-4
delger,2018,1.8761766173372374,135.35331000066412,59.4,68.7,1.43,0.29746679417288996,3.2948095435769793,10.522220655526644,0.11421478135410887,0.0021966416077612155
delger,2019,1.8761766173372374,135.35331000066412,84.7,111.14,5.22,0.280209803619678,243.3329301874824,391.3902108288277,32.78691779259793,0.041786152272908016
delger,2022,1.8761766173372374,135.35331000066412,70.29,86.05,1.84,0.3341023726268907,6.398348299827923,16.162749723733217,0.18736098496979156,0.0016477166594476547
delger,2015,1.5559149745484555,151.14219038314846,65.53,89.67,4.07,0.12473714772947665,65.00231933040054,156.20751837640887,3.2018038580528865,0.002422755570920536
delger,2016,1.5559149745484555,151.14219038314846,56.47,67.52,1.99,0.18509416325166952,2.6311318707655733,8.767466488127216,0.12400409226120744,8.988905490410461e-4
delger,2017,1.5559149745484555,151.14219038314846,60.03,65.54,5.2,0.09437773609268144,0.6860936628680254,2.1426776527277553,0.6642649125743423,9.794719204315932e-5
delger,2018,1.5559149745484555,151.14219038314846,59.56,69.14,2.62,0.15803568474351143,3.2064797711713733,10.61925535811908,0.2519766422472341,6.391115642930352e-4
delger,2019,1.5559149745484555,151.14219038314846,85.32,112.93,8.8,0.15667868684022296,272.61772026749503,445.7948703754751,90.06826641931109,0.02041714939860629
delger,2022,1.5559149745484555,151.14219038314846,70.52,86.86,3.32,0.1857241409885648,6.270192811400722,16.535679492377025,0.43896543499041746,5.996501570289681e-4
delger,2015,1.8629978026239236,168.24728129677047,66.01,90.07,4.24,0.10812868939281986,67.55384756768899,158.7773027286669,3.617867418582706,0.0019422977532317814
delger,2016,1.8629978026239236,168.24728129677047,56.73,67.84,2.07,0.15992595299636772,2.6229615712710133,8.7836875531411,0.1278446740285485,6.728481573844837e-4
